entry,subentry,Electron.PT,Electron.Eta,Electron.Phi
466,0,17.091713,0.16605769,2.8814037
468,0,26.04591,0.18930669,0.26693824
478,0,99.56434,-0.93438095,-0.6824552
479,0,38.643105,-0.575331,0.63127387
483,0,32.15965,0.30108103,-1.754279
487,0,36.50468,-0.37906045,0.106706776
493,0,62.95657,0.57045877,-2.6325343
507,0,37.95276,-1.4929303,-0.94542557
512,0,141.01065,0.88371766,0.12058055
516,0,100.80881,-1.0753533,0.31376308
516,1,35.073025,-1.3412918,-2.8229454
519,0,82.11504,-1.1483818,2.656305
524,0,24.987362,1.7876515,0.05256865
525,0,152.02751,-0.9261089,1.3654523
526,0,91.75068,-0.8380893,-1.2827418
529,0,206.0996,1.2928094,-1.2491308
532,0,69.77618,0.43577307,1.1222724
533,0,89.555244,-0.33851543,2.646792
544,0,30.358122,1.2163473,-0.26991436
545,0,103.099724,-0.9645862,0.76179755
547,0,142.5235,1.4347786,2.5381823
553,0,10.787692,1.4689132,-1.0056236
557,0,39.230404,-1.5528468,-0.7280598
559,0,77.199585,1.2202668,-2.1018798
562,0,96.48203,0.6030924,-2.1311822
564,0,21.741589,-0.5000069,1.773984
571,0,66.108894,0.47675595,0.43596855
573,0,52.475044,-0.3513334,0.6506793
574,0,204.64445,-0.30403003,2.0999165
574,1,132.79843,-0.5638324,-1.0544225
579,0,61.170826,-1.135428,1.2546037
581,0,41.28851,-0.659205,-3.034189
585,0,40.030552,-0.52198595,2.871707
587,0,73.54311,0.19560906,0.744043
590,0,242.20802,0.48465338,-2.9769347
592,0,49.653206,-0.9794104,2.5633502
594,0,66.223076,-0.68214834,0.064166375
600,0,37.009514,-0.422692,-3.0528626
601,0,94.25416,-0.1542865,2.5282292
604,0,46.819744,1.0268242,2.145433
605,0,101.68495,-0.48902062,0.02881494
609,0,79.84906,-0.652156,3.0596855
611,0,26.096874,-1.3393275,3.1074698
612,0,69.46388,-0.82164395,1.5471087
613,0,131.88914,-0.1402278,1.6631638
615,0,53.249866,1.173638,-0.78717434
622,0,139.81464,-0.5000273,-0.5570496
622,1,29.27169,-0.27308205,-0.057235297
625,0,107.04801,0.16879351,0.12638427
627,0,64.06348,0.64457095,2.2106316
631,0,48.78473,-1.3038926,2.3797758
634,0,89.61973,0.044287153,0.12439961
637,0,130.4142,-0.4374995,-1.5736006
646,0,134.46997,-0.7867448,-0.61752796
646,1,14.034239,-1.3566841,-1.0668962
649,0,117.13987,1.0109216,-1.7194277
652,0,92.6461,-1.6154181,-1.5501783
653,0,10.043037,-0.77906287,-0.31863496
654,0,160.73248,-1.3588539,1.6525321
654,1,48.620323,1.315005,2.236558
674,0,22.608812,0.13468763,-3.089204
685,0,279.57318,0.4372147,-0.8510024
686,0,24.699537,-2.0395768,-2.959296
687,0,82.22548,0.5236094,1.6255246
689,0,466.62796,-0.48130307,0.086425506
691,0,48.227386,-0.7962932,1.1697586
693,0,141.1676,-0.14905606,-2.6352077
694,0,32.723774,0.12147017,3.122313
700,0,45.625954,0.6680195,-3.1228864
708,0,34.441463,1.4125243,-1.9863825
715,0,399.7046,0.036084186,-0.32611632
721,0,33.824406,-1.1523759,-2.0899067
721,1,28.000826,0.039496806,-0.023103945
725,0,122.4063,0.046086118,0.3838936
728,0,53.664078,0.44377485,-0.37444484
729,0,100.23646,0.25262842,-0.07071194
730,0,54.696514,-0.99699163,1.5937779
732,0,172.51881,1.7341342,0.61124414
733,0,78.76086,-0.69833577,1.6878659
744,0,51.377956,0.3751899,0.16691625
745,0,30.549309,-0.5181979,2.4084942
748,0,21.698044,-0.06753941,-1.5190274
749,0,70.143,-0.71881294,1.5616701
750,0,41.201393,0.4457322,1.2314023
751,0,27.255299,-0.0121496245,-2.2370813
753,0,104.07761,1.3448175,-0.48899698
758,0,97.381615,0.9809744,3.0702052
763,0,12.052618,1.0889386,-0.5047758
764,0,27.522942,1.3160849,2.987318
765,0,48.243603,-1.1141003,1.2564621
767,0,26.572073,-1.444541,2.4670434
775,0,47.379505,-1.0452591,-0.7724075
776,0,61.613438,-0.5452126,0.9941074
778,0,177.99269,0.69160837,0.3799652
782,0,149.05661,-0.8583165,1.9097036
782,1,120.3552,-1.3000554,-1.4525671
788,0,216.36528,0.061272588,2.877268
