entry,subentry,Muon.PT,Muon.Eta,Muon.Phi
283,0,62.091908,0.7522377,-1.4509807
287,0,85.25899,-0.09543827,-0.75712794
288,0,95.11876,-1.1973183,-1.0000992
289,0,91.04744,-1.8114561,-0.51317006
291,0,60.9123,-1.4216578,2.6289074
292,0,21.303593,0.11398251,0.8846902
294,0,82.97104,-1.2262391,2.0199842
294,1,79.014824,-1.3955694,0.32129902
295,0,28.241796,0.32997847,1.1726742
296,0,82.506996,0.39191988,0.8050011
298,0,40.47106,-1.5739739,-2.4974053
300,0,41.2176,-0.30682653,1.3628458
303,0,113.28559,2.125046,-2.3754063
305,0,90.14293,0.7388096,-0.32457444
305,1,13.966836,0.23255746,1.895286
318,0,11.375879,-0.8035334,-2.4353209
319,0,26.528908,-1.5864229,-0.7327975
320,0,58.470257,-0.4612631,-1.53118
324,0,24.557142,-0.045215867,0.09785348
326,0,33.08664,-0.6004397,1.9007968
326,1,29.360054,0.9350516,2.9090416
327,0,281.84412,-0.27362728,0.04184445
328,0,26.360071,-0.33969387,2.2893734
331,0,11.036288,-2.2316985,-1.5989307
332,0,166.05478,0.6008108,3.01419
333,0,31.482477,-1.8310239,-0.68769187
341,0,23.669968,2.3947127,-0.84739727
342,0,15.130854,0.9298407,0.23481227
345,0,16.087103,1.4221703,2.5867014
346,0,49.9601,1.1908382,-0.5572017
349,0,87.75956,1.741942,2.2350972
354,0,64.15846,1.0414886,0.6347795
356,0,53.220314,0.82988626,2.6569777
358,0,56.47859,-0.8802626,-0.5494818
359,0,21.757774,-0.95567393,-1.4478747
365,0,255.87257,0.12094303,-0.50205195
365,1,18.965847,0.026969278,1.2948163
366,0,96.1649,1.1035874,2.040608
366,1,71.217415,0.18582809,2.7893922
368,0,102.333786,0.38225195,-2.2513974
369,0,116.64018,1.9221718,-0.17482647
369,1,61.149532,-0.5781899,2.910159
370,0,215.50235,-0.30986243,-2.4348462
375,0,44.95036,0.2343048,-1.7799891
379,0,42.98318,-1.6354359,-1.8964087
381,0,122.640854,0.2888117,1.3580773
382,0,13.3380995,-0.70862263,-2.098187
385,0,48.45642,-0.8242999,-0.42363772
386,0,177.41301,-2.2112212,-2.3417861
390,0,25.471844,-0.034828253,-0.082247145
392,0,146.83618,-1.2016438,0.24083011
392,1,58.42153,-1.7136396,1.9139087
396,0,58.471657,-0.9643907,1.5140969
398,0,53.57999,-0.17638518,2.7142096
398,1,48.578556,-2.1533484,-1.5475551
401,0,74.08458,-1.8449401,-2.4939554
405,0,28.12979,1.8242805,-0.9510724
408,0,23.335518,-1.2580106,1.7215668
421,0,63.34498,-0.9899204,-0.3062079
423,0,33.866154,0.74001384,-2.6038146
424,0,100.71991,0.51934344,-1.2130321
431,0,33.42066,1.8985078,-2.2442997
432,0,68.551025,-0.28122044,2.8407664
433,0,42.196323,0.94764364,2.5474703
435,0,116.16097,-1.0744122,0.36725602
436,0,59.619213,0.9960079,2.3014271
438,0,34.907898,-1.1539755,1.717847
444,0,67.10558,-0.18704368,2.1127024
450,0,66.17515,0.7391148,1.268198
452,0,74.552216,0.63181525,3.0761268
457,0,84.871,0.8340935,-1.6088835
458,0,32.439083,-0.3978172,1.4242887
458,1,27.51643,0.5137372,2.243499
464,0,72.537315,-0.03702147,-0.24128015
466,0,38.542816,-0.1486536,-1.6125827
469,0,48.106003,0.9081883,-0.28054857
470,0,12.258017,0.3102721,-0.4387309
474,0,23.041203,0.51517165,-1.988759
475,0,51.72304,-0.42272493,-2.5895958
477,0,47.346775,1.0021785,-0.02828328
483,0,74.21564,0.029328613,-2.0901687
484,0,24.232168,0.17684883,-1.2607011
485,0,148.93675,0.8982076,1.3198181
488,0,55.264427,-1.4234275,-2.5853927
489,0,70.24979,0.6831909,2.8134737
490,0,110.99074,1.5570728,-1.5146611
492,0,41.379154,0.04848019,-0.47448257
496,0,124.768295,-0.79504275,-1.937047
504,0,192.1745,0.95760936,-2.1939497
504,1,57.269577,1.1999311,0.0598667
506,0,84.02022,0.30259037,1.1499279
508,0,69.83229,-0.077428214,-0.9508454
509,0,23.47369,1.131413,-1.854439
511,0,100.881096,-1.0208614,1.6507545
513,0,89.13015,0.2260013,-2.059523
513,1,34.90323,-0.09606206,2.0328145
520,0,156.36507,-0.20850521,-0.519496
523,0,51.581913,-1.1264281,-0.52683
526,0,34.88842,-0.86375934,2.4883919
527,0,79.16077,-1.449848,-0.7796808
528,0,37.355564,0.2803375,2.4507642
533,0,48.449276,0.0056596496,-1.4659832
537,0,111.231674,-0.31674197,2.1160736
548,0,46.903,-0.5519959,1.2817477
550,0,29.964762,-2.1949043,-3.0219035
555,0,42.302353,-0.8375501,-2.061763
